path,methods,source,authMarkers,rpc,tables,idempotencyMarker
/api/admin/auth/owners,GET,app/api/admin/auth/owners/route.ts,,,"pets,profiles,subscriptions,telegram_identities",False
/api/app/bootstrap,GET,app/api/app/bootstrap/route.ts,"getAppSessionFromRequest,getRequestAuth",,"map_routes,map_zones,pet_documents,pet_observations,pet_passports,pets,profiles,reminders,social_profiles,wishlist_items",False
/api/assistant,POST,app/api/assistant/route.ts,"getAppSessionFromRequest,getRequestAuth",,"assistant_messages,assistant_threads,map_routes,pet_documents,pet_observations,pet_passports,pets,reminders,social_profiles",False
/api/auth/[...all],"GET,POST",app/api/auth/[...all]/route.ts,,,,False
/api/avatar/generate,POST,app/api/avatar/generate/route.ts,,,,False
/api/avatar/upload,POST,app/api/avatar/upload/route.ts,,,,False
/api/billing/entitlements,GET,app/api/billing/entitlements/route.ts,"getAppSessionFromRequest,getRequestAuth",,,False
/api/billing/telegram-stars/checkout,POST,app/api/billing/telegram-stars/checkout/route.ts,"getAppSessionFromRequest,getRequestAuth",,,False
/api/billing/telegram-stars,POST,app/api/billing/telegram-stars/route.ts,,,"subscriptions,telegram_identities",False
/api/documents/[id],"DELETE,GET",app/api/documents/[id]/route.ts,"getAppSessionFromRequest,getRequestAuth",,pet_documents,False
/api/documents,"GET,POST",app/api/documents/route.ts,"getAppSessionFromRequest,getRequestAuth",,pet_documents,False
/api/dog-cards,"DELETE,GET,POST",app/api/dog-cards/route.ts,"getAppSessionFromRequest,getRequestAuth",,"dog_cards,pets",False
/api/habits/[id]/checkins,POST,app/api/habits/[id]/checkins/route.ts,"getAppSessionFromRequest,getRequestAuth",,,True
/api/habits/[id],"DELETE,PATCH",app/api/habits/[id]/route.ts,"getAppSessionFromRequest,getRequestAuth",,,False
/api/habits,"GET,POST",app/api/habits/route.ts,"getAppSessionFromRequest,getRequestAuth",,,True
/api/health,GET,app/api/health/route.ts,"getAppSessionFromRequest,getRequestAuth",,,False
/api/internal/avatar-retention,GET,app/api/internal/avatar-retention/route.ts,,,"avatar_assets,avatar_jobs,avatar_upload_reservations",False
/api/internal/health,GET,app/api/internal/health/route.ts,,,,False
/api/internal/recommendation-outcomes,GET,app/api/internal/recommendation-outcomes/route.ts,,,,False
/api/internal/release,GET,app/api/internal/release/route.ts,,,,False
/api/map/features/[id],"DELETE,PATCH",app/api/map/features/[id]/route.ts,"getAppSessionFromRequest,getRequestAuth",,map_routes,False
/api/map/features,"GET,POST",app/api/map/features/route.ts,"getAppSessionFromRequest,getRequestAuth",get_map_features_in_bounds,"map_routes,map_zones,pets",True
/api/map/library,"GET,POST",app/api/map/library/route.ts,socialRequestContext,,map_libraries,False
/api/map/places,GET,app/api/map/places/route.ts,,,,False
/api/map/search,GET,app/api/map/search/route.ts,,,,False
